PCP,Overall,,,,,,,,,,
FUKS010109,100,"Entire chain composition of amino acids in intracellular proteins of thermophiles (percent) (Fukuchi-Nishikawa, 2001)",PCP469,C16,Composition,,,,,,
ARGP820101,15.62,"Hydrophobicity index (Argos et al., 1982)",PCP2,C10,Hydrophobicity,,,,,,
OOBM770104,15.62,"Average non-bonded energy per residue (Oobatake-Ooi, 1977)",PCP216,C7,Physiocochemical properties,,,,,,
ROSM880101,8.56,"Side chain hydropathy, uncorrected for solvation (Roseman, 1988)",PCP355,C9,Hydrophobicity,,,,,,
FASG760102,6.8,"Melting point (Fasman, 1976)",PCP73,C15,Hydrophobicity,,,,,,
CHAM830106,3.78,,,,,,,,,,
PONP800107,3.78,,,,,,,,,,
ARGP820103,3.27,,,,,,,,,,
CHOC760102,3.27,,,,,,,,,,
SIMZ760101,3.27,,,,,,,,,,
CASG920101,3.27,,,,,,,,,,
ISOY800106,3.02,,,,,,,,,,
DAYM780201,2.02,,,,,,,,,,
FASG760105,2.02,,,,,,,,,,
ANDN920101,0,,,,,,,,,,
ARGP820102,0,,,,,,,,,,
BEGF750101,0,,,,,,,,,,
BEGF750102,0,,,,,,,,,,
BEGF750103,0,,,,,,,,,,
BHAR880101,0,,,,,,,,,,
BIGC670101,0,,,,,,,,,,
BIOV880101,0,,,,,,,,,,
BIOV880102,0,,,,,,,,,,
BROC820101,0,,,,,,,,,,
BROC820102,0,,,,,,,,,,
BULH740101,0,,,,,,,,,,
BULH740102,0,,,,,,,,,,
BUNA790101,0,,,,,,,,,,
BUNA790102,0,,,,,,,,,,
BUNA790103,0,,,,,,,,FUKS010109,100,"Entire chain composition of amino acids in intracellular proteins of thermophiles (percent) (Fukuchi-Nishikawa, 2001)"
,,,,,,,,,ARGP820101,15.62,"Hydrophobicity index (Argos et al., 1982)"
,,,,,,,,,OOBM770104,15.62,"Average non-bonded energy per residue (Oobatake-Ooi, 1977)"
,,,,,,,,,ROSM880101,8.56,"Side chain hydropathy, uncorrected for solvation (Roseman, 1988)"
,,,,,,,,,FASG760102,6.8,"Melting point (Fasman, 1976)"
